Doc #	Endret dato	Tittel	Saksbehandler	Applikasjon	List Title
43261	23.11.2015	Ferdigattest Nedre Ullevål 7 9, PBE 23.11.15	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke48 2015.pdf
43352	01.12.2015	Veileder i terrorsikring brev m/vedlegg fra Kunnskapsdepartementet av 1.12.15	Torgunn Kveberg	MS OUTLOOK	Postliste SiO uke 49 2015.pdf
43480	07.12.2015	Høring - Revidert reglement for godkjenning av studentforeninger, UiO 7.12.15	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 07.12.15 - 13.12.15
43485	07.12.2015	Statsbudsjettet 2015 – Kap. 270 post 74 – Tilskudd til studentsamskipnadene, supplerende tilskuddsbrev fra Kunnskapsdepartemenet 3.12.15	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 07.12.15 - 13.12.15
43499	08.12.2015	Søknad om omdisponering av tilsagn om tilskudd til studentboligbygging, brev til Kunnskapsdepartementet 8.12.15	Helge Christian Haugen	ACROBAT	SiOs postliste 07.12.15 - 13.12.15
43501	08.12.2015	Høring - Forslag om endret fastsetting av grunnlaget for korttidsytelsene, e-postfra Arbeidsgiverforeningen Spekter 30.11.15	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 07.12.15 - 13.12.15
43511	09.12.2015	Høring - Forslag til endring i forskrift om rammeplan for ingeniørutdanning,Kunnskapsdepartementet 7.12.15	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 07.12.15 - 13.12.15
43591	15.12.2015	Blindernveien 6, Blindern - Offentlig ettersyn utsettes, brev fra PBE av 15.12.15	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 14.12.15 - 20.12.15
43592	15.12.2015	Trimveien 4, Gaustad - Oversendelse av bemerkninger og avtale om bemerkningsmøte, brev fra PBE 14.12.15	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 14.12.15 - 20.12.15
43651	18.12.2015	Angående søknad om økonomisk støtte	Nina Langeland	MS WORD	SiOs postliste 14.12.15 - 20.12.15
43652	18.12.2015	Statsbudsjett 2016 kap. 260 - Tildelingsbrev for Universitetet i Oslo, Kunnskapsdepartementet 18.12.15	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 14.12.15 - 20.12.15
43653	18.12.2015	Statsbudsjett 2016 kap. 260 - Tildelingsbrev for Arkitektur- og designhøgskoleni Oslo, Kunnskapsdepartementet 18.12.15	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 14.12.15 - 20.12.15
43654	18.12.2015	Statsbudsjett 2016 kap. 260 - Tildelingsbrev for Norges musikkhøgskole, Kunnskapsdepartementet 18.12.15	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 14.12.15 - 20.12.15
43655	18.12.2015	Statsbudsjett 2016 kap. 260 - Tildelingsbrev for Norges idrettshøgskole, Kunnskapsdepartementet 18.12.15	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 14.12.15 - 20.12.15
43656	18.12.2015	Statsbudsjett 2016 kap. 260 - Tildelingsbrev for Kunsthøgskolen i Oslo, Kunnskapsdepartementet 18.12.15	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 14.12.15 - 20.12.15
43659	18.12.2015	Statsbudsjett for 2016 kap. 260 - Tildelingsbrev for Høgskolen i Oslo og Akershus, Kunnskapsdepartementet 18.12.15	Torgunn Kveberg	MS OUTLOOK	SiOs postliste 14.12.15 - 20.12.15
